Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
Chris Harris,Yea Ryan Williams might be league ready at 17 lol,Oct-05,5,238,15
Skyler Johnson,I'm hearing from reliable sources that Kamala Harris is conspiring to steal the 2024 election by getting significantly more votes than Donald Trump. Same insidious strategy Biden used,Oct-05,19,1200,200
Aes,Notice how most of the people complaining about Kamala Harris becoming president are old White men.,Oct-04,10,371,84
Sierra,There's no doubt in my mind that Barack Obama will unleash political violence in America if Kamala Harris loses in November. WHAT'S YOUR OPINION?,Oct-05,31,68,14
Harris | Walz War Room,One month to go folks. Let's win this thing.,Oct-05,2,59,9
Savio Rodrigues,Kamala Harris and Democrats will win US Elections only and only because of illegal migrants that has seen an exponential growth over the tenure of Biden administration.,Oct-04,19,320,69
Aes,You know what happens when psychos hear that it's the end of America if Harris wins? Fucking God damnit.. He can't even think for a second before he speaks. Elon Musk is one of the worst human beings on this planet.,Oct-05,11,228,60
Sumanth Varma X,"The southeastern U.S. is recovering from Hurricane Helene, which has caused widespread damage and displacement. Relief efforts are underway, and political leaders, including Vice President Kamala Harris, are meeting with volunteers and victims.",Oct-05,196,151,23
Philip Anderson,Make sure you are registered to vote and get your family and friends registered to vote for Trump as well. The only way to end this nightmare is by getting Trump back in the White House.,Oct-04,13,290,93
National Sheriffs' Association,"Border sheriff who met with Trump, Harris says we're seeing 'ugliest border' ever (TTND) — A border sheriff who has met with both presidential candidates says cooperation between local and federal officials is vital to fixing the ""ugliest border we've ever seen."" Show more",Oct-04,23,7,1
Natalie Allison,"Trump in Evans, Ga. will criticize the federal disaster response (""Harris-Biden administration needs to do more now"") while touting a GoFundMe his campaign started, and announcing that @elonmusk is sending ""dozens of Starlink terminals"" to Georgia, per prepared remarks.",Oct-04,11,34,11
M Avstéva 🇮🇱 z,Israel hits Iran's oil resources + oil skyrockets = Harris almost certain to lose. I think Biden will put a leash on Netanyahu.,Oct-04,15,73,13
Kamala Harris Press Release (Parody),The mainstream media spent weeks talking about how weird JD Vance is but the story about my husband slapping chicks really isn't newsworthy.,Oct-04,4,88,8
Aes,"Harris is going to outperform in Georgia. Even if she loses it, the state will be razor thin close.",Oct-05,17,309,24
Tea Pain,"PATRIOTS: Tea Pain is happy as a pig in slop that his Gizzard Ridge neighbors are workin' because of the Biden Harris Administration addin' 254,000 last month, and a whoppin' 16 million for the past 4 years! Help ol' Tea pass the word with this hashtag #DemsDeliver16MillionJobs.",Oct-04,67,646,304
Aes,"One of two people will win this election. Trump will win Or Harris will win. If your candidate doesn't win, it's not because it's fucking rigged, MAGA.. Show more",Oct-05,12,100,22
Rufus,MAGA will be shocked on election night when Harris outperforms polls. BOOKMARK THIS.,Oct-04,25,365,38
Thank you Joe Biden,Kamala Harris is going to win this election by a landslide but the orange rapist won't take no for an answer.,Oct-06,4,100,12
Gina Levy,"If your son is voting for Kamala Harris, you raised a bitch. Thank you. Goodbye.",Oct-06,25,405,34
Kamala Harris Press Release (Parody),"To be clear: Hurricane victims do NOT get $750 per person. It's $750 per family. Also, it's a loan. You have to pay it back.",Oct-05,2300,160000,16000
Varad Mehta,"New anti-Harris ad on the radio just now. Starts with her saying ""my values haven't changed"" and then plays back audio of her saying she wants to ban fracking, kill private health insurance, that illegal border crossing shouldn't be a crime, etc. Outside group, missed the name.",Oct-06,1,160,37
Aes,Kamala Harris to visit the late show with Stephen Colbert on Tuesday.,Oct-06,14,282,49
Aes,Very good podcast interview by Harris.,Oct-06,9,147,15
Tee(Theresa),I mailed in my absentee ballot and of course I voted for Kamala Harris!!,Oct-04,80,505,48
Don Winslow,"If you support Kamala Harris and Joe Biden as I do, send out a tweet today highlighting the great job numbers, the stock market at record highs and the strike over. Flood the airwaves with the truth to counter the lies.",Oct-04,28,1000,537
Black Girl Photographer,Underestimating Black women made this historic moment almost not happen. President Biden got VP Harris on the ticket for president. He is an ally to Black women. He appointed the 1st Black female Supreme Court Justice. He knows the power of Black women. He believes in us.,Oct-04,42,1200,242
Dannie D,"Obama to start a 27 day campaign for Harris in key battle ground states. Trump, you in danger, gurl.",Oct-04,22,367,54
Randall Barnes,Kamala Harris has and will interview with: -Howard Stern -Rickey Smiley -Call Her Daddy -Matt Barnes & Stephen Jackson (All The Smoke) -Oprah -60 Minutes -The View -Stephen Colbert... Show more,Oct-06,10000,55000,10000
The USA Singers,Donald Trump destroyed the incredible Obama economy. Joe Biden rebuilt the disastrous Trump economy. Kamala Harris will continue to build the Biden economy. Any questions?,Oct-05,7,285,73
Patrick Webb,Kamala Harris just announced $100 million to North Carolina and $157 million to Lebanon. WHAT A DISGRACE.,Oct-05,39,519,126
Aes,Tired of the hatred? Vote Harris.,Oct-04,36,998,165
Aes,"Kamala Harris doesn't have to run; she doesn't have to subject herself to psychos hating her for 4 years. But she's doing it because she knows there are bigger things than herself, and Trump must be defeated, and this era of politics must be left in the dustbins of history.",Oct-06,11,346,80
Aes,What if Harris wins and they refuse to certify the election? That won't happen. There's a bipartisan group of people who have already said they would certify it.,Oct-06,30,411,48
Anatomy of a Fighter,Big respect to Khalil #UFC307,Oct-06,6,137,7
Underdog WNBA,Lineup alert: Tyasha Harris will continue to play off bench; expected to have minutes limit increased Friday,Oct-04,2,83,10
Skyler Johnson,"In October 2022, economists were predicting that there was a 100% chance the U.S. would be in a recession within a year. Joe Biden and Kamala Harris answered the call and saved our economy.",Oct-04,9,498,197
Sarah Raviani,"After everything that's happened this week, both in the Middle East and here at home in the U.S., I can't help but wonder how anyone could possibly think, ""Yeah, we have strong leadership in the White House. I'll vote for Kamala Harris.""",Oct-04,10,218,30
Prof Zenkus,"Republican voters: Donald Trump won't make sure you earn a living wage. He won't make sure you're fully covered if you need to see a doctor or go to the hospital. And like Harris, he'll send billions to Israel while American workers struggle. If you really want to give the Show more",Oct-04,7,233,82
Dapper Detective,Kamala Harris defunded the police. Biden-Harris defunded FEMA to fund migrants. Law-abiding Americans are in grave danger.,Oct-04,4,41,12
Paul D. Thacker,The guy who couldn't speak clear sentences during the presidential debate is in charge of the Middle East crisis. The reporters who told you he's fine now tell you Kamala Harris is the second coming of Obama.,Oct-04,2,93,24
Lucas Sanders,"Good morning all. New this morning, The Harris Campaign has just announced some major events and series of interviews and stops this week. MONDAY: Kamala Harris' 60 Minutes Interview. TUESDAY: Interviews with The View, The Howard Stern Show, and The Late Show with Stephen Show more",Oct-06,5,65,23
Shoshana,Trump is holding a memorial tomorrow at Trump National Doral Miami to honor the victims of the October 7 PaliNazi attack and victims of antisemitic attacks worldwide. What is the Obama / Harris cabal doing to honor the victims of PaliNazism?,Oct-06,15,175,60
Bruce Bartlett,"Unpopular opinion--Harris doesn't need any more money, she has plenty to win. But there are many downticket Democrats who need it. A few strategically placed dollars could make a big difference.",Oct-04,18,279,58
Lenny Harrison for Harris/Walz,I guess no one sees my Tweets anymore.,Oct-06,7,79,33
Shawn Harris for Congress,"Marjorie Taylor Greene voted AGAINST the bill that gave cash-strapped FEMA access to more disaster relief funds as Hurricane Helene approached Georgia. She was bent on shutting down the government and creating chaos. She didn't care for innocent lives. MTG, sit this one out.",Oct-05,108,6300,2900
Steven Harris #93,Ooowee finna put these boys to sleep 💤 GO GATORS!!!!!,Oct-05,2,50,4
PLATNMNRSE,"That's right President Trump @realDonaldTrump says, ""The Biden-Harris Administration has lost 325,000 children!"" WHERE ARE THE MISSING CHILDREN????? @KamalaHarris",Oct-05,2,87,59
Philip Anderson,Repeat after me Fuck FEMA,Oct-05,45,758,85
The Tao of Woke Steve,Hey Ontario If Liz Cheney & Kamala Harris can work together before an election then so can Marit Stiles & Bonnie Crombie.,Oct-04,43,1000,250
Dr Sherri Tenpenny,"Make no mistake, neither Biden, Harris or ANYONE in their filthy cabal, gives even 1 damn about the American people. It's significantly worse than that — they actually hate us and are working at warp speed to bankrupt and dismantle our great Republic.",Oct-04,29,658,173
Aes,I don't give a damn about a billionaire going to Mars. I give a damn about the American people not being subjected to hell. What do you think happens when war with Iran starts because of Trump? That's why I'm voting Harris.,Oct-05,9,146,38
House Democrats,"Together with the Biden-Harris Administration, we've created more than 16 million jobs and are building a stronger middle class. House Republicans want to roll back this progress and prioritize tax cuts for billionaires and corporations.",Oct-04,58,104,50
Natalie Jackson,"It's interesting watching some in legacy political media complain that Harris isn't doing interviews. What they mean is not ""with them."" Downplaying various podcasts, The View, Howard Stern, and 60 Minutes is IMO incorrectly discounting the size of those audiences.",Oct-06,11,190,40
Captain Renault,"Of the six high-profile media appearances by MVP Harris in the next few days, four are live. A town hall, a live interview with Howard Stern, The View, and Call Her Daddy. Three of those are long form. This is a big deal.",Oct-06,2,382,73
Philip Anderson,FEMA are the scum of the earth,Oct-05,27,199,29
Mayor Levar M. Stoney,"Back in 2020, I worked around the clock to make sure President Biden won our Commonwealth. This November, I am going to do the same for Kamala Harris. The policies of Trump, Youngkin, and Vance have no place in Virginia.",Oct-04,8,179,54
West Wing Report (Edited by Paul Brandu),"1) National unemployment rate: 4.1% 2) It is lower, sometimes far lower than that in five swing states: AZ, GA, PA, NC, WI SC 3) It is higher in MICH and NV 4) Overall, the job situation in swing states looks better for Harris in five states and better for Trump in two",Oct-05,0,15,7
Meacham,"Stock market up. Inflation down. Jobs up. Unemployment down. Crime down. Gas prices down. Illegal border crossings down. Thanks, Biden/Harris.",Oct-04,6,288,99
